,Date,Ticker,Mean Rating,Mean Description,# of Ratings,Buy (%),Overweight (%),Hold (%),Underweight (%),Sell (%),Mean Tgt Price,# of Tgt Prices,Tgt Price Implied Return (%)
221,28 Sep '18,MSFT,1.21,Buy ,34,79.4,5.9,11.8,0.0,2.9,124.35,33,8.7
222,29 Jun '18,MSFT,1.21,Buy ,34,79.4,5.9,11.8,0.0,2.9,112.74,32,14.3
223,29 Mar '18,MSFT,1.27,Overweight ,35,74.3,2.9,20.0,0.0,2.9,105.18,32,15.2
224,29 Dec '17,MSFT,1.28,Overweight ,34,73.5,2.9,20.6,0.0,2.9,93.43,30,9.2
225,29 Sep '17,MSFT,1.32,Overweight ,33,69.7,3.0,24.2,0.0,3.0,80.51,31,8.1
226,30 Jun '17,MSFT,1.32,Overweight ,36,69.4,2.8,25.0,0.0,2.8,74.92,33,8.7
227,31 Mar '17,MSFT,1.35,Overweight ,36,66.7,2.8,27.8,0.0,2.8,70.13,32,6.5
228,30 Dec '16,MSFT,1.40,Overweight ,35,62.9,5.7,25.7,0.0,5.7,65.75,32,5.8
229,30 Sep '16,MSFT,1.53,Overweight ,35,51.4,5.7,34.3,2.9,5.7,59.63,32,3.5
230,30 Jun '16,MSFT,1.46,Overweight ,35,57.1,8.6,25.7,2.9,5.7,58.11,33,13.6
231,31 Mar '16,MSFT,1.51,Overweight ,35,51.4,8.6,31.4,2.9,5.7,58.95,33,6.7
232,31 Dec '15,MSFT,1.51,Overweight ,36,50.0,11.1,30.6,2.8,5.6,57.42,33,3.5
233,30 Sep '15,MSFT,1.61,Overweight ,35,45.7,8.6,31.4,5.7,8.6,50.22,32,13.5
234,30 Jun '15,MSFT,1.65,Overweight ,34,44.1,5.9,35.3,5.9,8.8,49.87,30,12.9
235,31 Mar '15,MSFT,1.74,Overweight ,37,35.1,5.4,43.2,8.1,8.1,46.88,33,15.3
236,31 Dec '14,MSFT,1.62,Overweight ,37,43.2,5.4,40.5,5.4,5.4,49.91,34,7.5
240,01 Dec '19,T,1.68,Overweight ,28,35.7,7.1,50.0,0.0,7.1,39.08,24,4.6
241,30 Sep '19,T,1.62,Overweight ,26,38.5,7.7,50.0,0.0,3.8,36.09,22,-4.6
242,28 Jun '19,T,1.63,Overweight ,28,39.3,10.7,42.9,0.0,7.1,33.75,24,0.7
